horse_id,horse_name,horse_expected_top3_rate,prev_finish,prev_last_3f,prev_odds,prev_popularity,prev_race_date,prev_jockey_id
2006102580,ニシノアクエリオン,0.10557581771446366,15.0,38.0,61.3,10,2010-01-05,01003
2007103004,デアケーニヒ,0.10557581771446366,9.0,38.1,3.3,1,2010-01-05,00945
2005100050,サクラリーバポート,0.10557581771446366,10.0,39.8,12.7,5,2010-01-05,01104
2007109163,アオモミジ,0.10557581771446366,9.0,38.5,70.8,9,2010-01-05,00682
2007104590,タマモキャンディ,0.10557581771446366,11.0,41.1,62.2,10,2010-01-05,00635
2007101057,ピサノジュメイラ,0.10557581771446366,,,46.4,9,2010-01-05,00732
2007106150,メイプルスターオー,0.10557581771446366,7.0,37.5,17.0,8,2010-01-05,00629
2007101002,タケミカデュラン,0.10557581771446366,11.0,43.0,239.6,11,2010-01-05,00836
2007101841,タマモドリーム,0.10557581771446366,11.0,38.1,173.2,13,2010-01-05,01119
2007100901,オンラッシュ,0.10557581771446366,9.0,36.4,134.9,12,2010-01-05,01025
2000101479,ワンモアチャッター,0.10557581771446366,16.0,38.1,195.7,16,2010-01-05,00712
2007102105,テイエムランボー,0.10557581771446366,16.0,38.6,364.1,16,2010-01-09,01087
2007101759,ジツリキザッツワン,0.10557581771446366,10.0,39.8,188.1,13,2010-01-09,01113
2007101900,リワードインティマ,0.10557581771446366,12.0,41.3,33.9,9,2010-01-09,01095
2007109103,カシノファルコン,0.10557581771446366,14.0,42.3,540.0,15,2010-01-09,01004
2007109125,テイエムヒンガエド,0.10557581771446366,,,388.4,13,2010-01-09,01081
2005104289,ルグランコンデ,0.10557581771446366,,,32.3,7,2010-01-09,00715
2007101125,ドリームメーカー,0.10557581771446366,16.0,40.4,201.1,14,2010-01-09,01126
2007100132,チェリーブロッサム,0.10557581771446366,15.0,37.1,256.0,14,2010-01-09,01038
2005102211,アロマキャンドル,0.10557581771446366,12.0,35.7,27.2,8,2010-01-09,00652
2007100084,エルプシオン,0.10557581771446366,,,148.0,13,2010-01-09,01084
2006106348,シャイニーキング,0.10557581771446366,16.0,39.7,161.2,15,2010-01-09,01030
2005106856,ボンジュールソノコ,0.10557581771446366,8.0,38.2,101.8,12,2010-01-09,01061
2005100943,トレノクリスエス,0.10557581771446366,14.0,36.6,22.5,8,2010-01-09,01029
2005101336,リップサービス,0.10557581771446366,16.0,42.7,244.5,16,2010-01-09,01112
2005102089,プリンチパーレ,0.10557581771446366,15.0,38.7,64.9,9,2010-01-09,01088
2006103199,カサブランカ,0.10557581771446366,5.0,36.6,28.0,9,2010-01-09,00684
2000107271,ハギノメトロポリス,0.10557581771446366,,,262.7,16,2010-01-09,01115
2001102223,ワンマンシャチョウ,0.10557581771446366,12.0,35.0,67.1,12,2010-01-09,01019
2007104822,フェスティヴコナン,0.10557581771446366,15.0,43.1,151.1,10,2010-01-09,05243
2006102505,ナイトスズラン,0.10557581771446366,15.0,39.6,305.5,16,2010-01-09,01127
2007104589,ユウナギジョウ,0.10557581771446366,16.0,39.9,277.8,15,2010-01-09,00726
2001104568,レオスターライト,0.10557581771446366,13.0,13.7,196.0,13,2010-01-09,01067
2007104630,ヒロノカイラ,0.10557581771446366,,,18.9,6,2010-01-10,00684
2007104897,コスモアレスト,0.10557581771446366,15.0,41.3,447.5,16,2010-01-10,01126
2003110023,アキノレッドスター,0.10557581771446366,13.0,37.4,114.5,12,2010-01-10,01122
2007105755,アイファーライアン,0.10557581771446366,8.0,36.7,3.2,1,2010-01-10,00945
2006110004,アンティックドール,0.10557581771446366,16.0,39.7,80.8,9,2010-01-10,01026
2005101630,トーホウヘレン,0.10557581771446366,14.0,37.8,143.7,13,2010-01-10,01107
2007103244,ミラクルエース,0.10557581771446366,10.0,38.4,22.5,6,2010-01-10,05396
2007110111,アパッショナンテ,0.10557581771446366,4.0,40.0,3.7,2,2010-01-10,00660
2003101993,ツルマルローズ,0.10557581771446366,8.0,39.1,35.6,9,2010-01-10,00732
2007105277,トーセンクラッチ,0.10557581771446366,14.0,46.2,259.9,14,2010-01-10,00689
2007105033,ホクセツトップ,0.10557581771446366,16.0,42.6,233.3,14,2010-01-10,01127
2006101026,ニホンピロイーグル,0.10557581771446366,12.0,38.8,432.2,16,2010-01-10,00685
2005102564,クリスエスアラート,0.10557581771446366,8.0,37.1,69.8,11,2010-01-10,00711
2007105431,ピープルズチョイス,0.10557581771446366,14.0,39.4,306.5,15,2010-01-10,01127
2007102415,マスパステル,0.10557581771446366,15.0,40.7,447.1,16,2010-01-10,01110
2006104504,サザンヴィット,0.10557581771446366,14.0,38.6,168.8,16,2010-01-10,00712
2007100940,プレストンシャトー,0.10557581771446366,14.0,39.6,75.9,10,2010-01-10,01048
2004100416,クィーンオブキネマ,0.10557581771446366,12.0,38.4,47.6,12,2010-01-10,01095
2004100056,ナムラフランキー,0.10557581771446366,15.0,39.1,75.8,10,2010-01-10,01015
2004106737,エリモハルカ,0.10557581771446366,13.0,38.7,95.3,13,2010-01-10,01118
2004100683,ルアシェイア,0.10557581771446366,15.0,35.6,202.6,14,2010-01-11,00894
2006102493,ロトパートナー,0.10557581771446366,15.0,44.5,319.7,15,2010-01-11,05243
2005102380,エフティアクトレス,0.10557581771446366,11.0,38.7,120.9,12,2010-01-11,01031
2005102315,ミラクルロンド,0.10557581771446366,13.0,39.1,33.2,7,2010-01-11,01119
2007103024,ショウナンハマカゼ,0.10557581771446366,16.0,36.8,289.5,14,2010-01-11,01104
2003103022,トップオブツヨシ,0.10557581771446366,16.0,34.9,257.5,16,2010-01-11,01105
2005102226,ピサノドヌーヴ,0.10557581771446366,10.0,37.2,221.8,15,2010-01-11,01037
2006106391,マルブツデヒア,0.10557581771446366,10.0,41.9,236.2,14,2010-01-11,00689
2000104348,パープルファルコン,0.10557581771446366,12.0,36.5,247.9,11,2010-01-11,01093
2007103666,コスモマイティーン,0.10557581771446366,11.0,39.5,184.7,11,2010-01-11,05243
2007104433,オーミハイネス,0.10557581771446366,16.0,40.8,430.9,15,2010-01-11,01062
2007105196,シベリアンメイン,0.10557581771446366,13.0,39.5,109.6,13,2010-01-11,01025
2004110188,テラノフォースワン,0.10557581771446366,15.0,40.0,125.4,12,2010-01-11,01074
2000104369,コレデイイノダ,0.0,12.0,36.2,174.3,11,2010-01-16,01062
2007106046,サチノステディー,0.10557581771446366,12.0,40.6,180.0,12,2010-01-16,00714
2004102567,ニシノテンカ,0.10557581771446366,13.0,40.4,63.5,10,2010-01-16,00652
2007101727,スマイルウィン,0.10557581771446366,10.0,40.9,152.3,12,2010-01-16,01119
2007109317,ポンテエスペランサ,0.10557581771446366,16.0,44.0,399.1,16,2010-01-16,01118
2003105460,センターザゴールド,0.0,9.0,37.9,169.0,16,2010-01-16,00732
2007106426,ストロングマン,0.10557581771446366,15.0,38.5,80.6,13,2010-01-16,00712
2006100439,ミヤビリュウオー,0.10557581771446366,1.0,35.5,13.4,5,2010-01-16,05386
2007101254,トシアトム,0.10557581771446366,15.0,41.4,7.4,4,2010-01-16,01102
2007101556,キクノエクラ,0.10557581771446366,13.0,41.0,233.2,13,2010-01-16,01114
2007100287,プリモアルテマ,0.10557581771446366,12.0,37.6,372.5,15,2010-01-16,05451
2004105865,エイシンイッテン,0.10557581771446366,11.0,38.9,83.1,12,2010-01-16,00684
2007106727,オリオンザリリー,0.10557581771446366,14.0,38.8,554.7,16,2010-01-16,00722
2007110070,ケイアイグロリア,0.10557581771446366,10.0,36.3,133.3,10,2010-01-16,05386
2007103615,ミヤサンアマンテ,0.10557581771446366,16.0,39.8,263.9,16,2010-01-16,01118
2006102019,ヴィーヴァシャトル,0.10557581771446366,14.0,38.2,257.0,16,2010-01-17,00679
2007103329,マチカネヒャクセン,0.10557581771446366,8.0,36.6,38.7,9,2010-01-17,01019
